Name,Name 2,2008 Wreck ID,Latitude,Longitude,Geo Q,Start Date,End Date,Date Q,Depth,Depth Q,Year Found,Year Found Q,Cargo 1,Type 1,Cargo 2,Type 2,Cargo 3,Type 3,Other Cargo,Gear,Estimated Capacity,Comments,Length,Width,Size estimate Q,Parker reference,Bibliography and notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Polveraia,,741,42.783,10.100,,1,100,?,50.0,,,,amphoras,Roman,,,,,,2 iron anchors,,,,,,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Prima,,742,41.800,3.067,,70,100,ca,18.0,,,,amphoras,Dr10,ceramic,Drag37 terra sigillata hispanica bowl,,,,2 lead anchor stocks,,,,,,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Raisi,,743,38.250,13.100,ca,1,300,?,,deep,,,amphoras,Panella44-47,ceramic,pottery,,,,,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Sardegna,,744,41.217,9.367,,1,100,,,,,,amphoras,,stone,Capo Testa granite columns,,,,,,,,,,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Scario 1,,745,37.900,12.433,,1,100,?,6.0,,,,tiles,roof tiles,,,,,,,,remains of a ship,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Scifo 1,,746,39.000,17.183,,200,225,,7.0,,,,marble,"columns, basins, blocks, capitals, statues of Pavonazzetto, Synnada, Proconnesian",stone,samples of slate & marble,lamps,bronze lamp,,,,"pieces of ship, planking",35.0,,,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Secca 1,,747,36.767,14.500,,650,700,ca,3.0,,,,coins,7C Byzantine coin,,,,,,,,well-preserved hull,,,,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Secca 2,,748,36.767,14.500,,650,700,ca,3.0,,,,nothing reported,,,,,,,,,well-preserved hull,,,,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puntas, Las",,749,36.733,-3.683,,90,140,ca,70.0,,,,amphoras,Dr20,,,,,,,,,,,,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qawra,,750,35.950,14.417,,200,275,ca / ?,40.0,,,,amphoras,Afr2A,,,,,,,,,,,,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randello,,754,36.850,14.450,,300,325,?,3.0,,,,amphoras,Almagro50,,,,,,3/4 iron anchors,,copper nails,,,,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras Achakkar,,755,35.733,-5.933,ca,1,500,,,,,,amphoras,,,,,,'Roman bushel tap',,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ras el Basit,,756,35.867,35.800,,250,350,?,,,,,ceramic,mortaria,,,,,,,,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratino,,757,41.367,9.233,,325,350,ca / ?,6.0,,,,amphoras,Afr2B,,,,,,,,,,,,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redona, Na",,758,39.167,2.983,,1,100,,35.0,,,,amphoras,Camulodunum186A,metal,"copper, tin ingots",,,,,,,,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnous,,759,38.167,24.033,,0,0,,,,,,amphoras,,,,,,,,,,,,,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riace,,761,38.383,16.533,,1,100,?,6.0,,,,metal,"bronze statues; lead jar lid, Dr2-4; lead rings",amphoras,Rhodian fragments,,,,,,fragment of ship's keel,,,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risan,,762,42.533,18.700,,0,0,,,,,,amphoras,,,,,,,,,,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocca di San Nicola 1,,764,37.100,13.867,,1400,1500,,9.0,,,,ceramic,pottery,,,,,,"bombards, cannon, lead shot",,,,,,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocca di San Nicola 2,,765,37.100,13.867,,300,500,,9.0,,,,ceramic,C5 pottery,,,,,,LR/Byz anchors,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocca di San Nicola 3,,766,37.100,13.867,,400,500,,9.0,,,,ceramic,C5 pottery,,,,,,Late Roman/Byzantine anchors,,,,,,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roches d'Aurelle, Les",,767,43.450,6.933,,80,100,ca,72.0,,,,amphoras,"LaubenheimerG5 and G2, Dr20, Drag. 37",ceramic,"Vases - coarse pottery vessels; figured lamp, fine-wall cup, Drag37 cup",tiles,roof tiles,,,,,15.0,,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roquetas del Mar (Spain),,768,36.767,-2.598,ca,0,0,,,,,,amphoras,Dr14 Dr38 Dr20 Dr1,,,,,,,,Mixture of amphoras. Possibility of wreck.,,,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roquetes, Les",,769,41.483,2.367,,1300,1600,?,,,,,,,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rovinj,,781,45.083,13.617,ca,-50,100,ca / ?,,deep,,,amphoras,similar to Dr6B,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runcorn,,782,53.333,-2.733,,80,90,ca / ?,,,,,metal,lead ingots,,,,,,,,,,,,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagunt,,785,39.667,-0.200,,-25,75,ca / ?,,,,,amphoras,Dr7-11,,,,,,anchor stock,,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint George's Bay,,787,35.917,14.483,,0,0,,18.0,,,,ceramic,pitch-lined pottery,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Gervais 1,,788,43.417,4.933,,140,140,ca,7.0,,,,metal,"lead ingots, iron bars",ceramic,S Gaulish terra sigillata plate,,,,,,hull,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Gervais 2,,789,43.417,4.933,,600,675,ca,2.5,,,,amphoras,African: Keay 61 Keay 8a; 1 spatheion.  Filled with pitch and probably recycled (Pieri),ceramic,"N African terra sigillata chiara D, orange-painted and orange; lead-glazed pottery; grey-ware pitchers; fine eastern ceramic, everyday ceramic 1 LR 5 amph, prob = galley stores, according to Kingsley 2002, 79, citing Jézégou 1983, p. 115, and 1998, 345; slightly different appraisal in Pieri 2005, 16-19.",,,2 Merovingian broaches; barrel ; wheat,"pump, galley hearth, wooden sail-ring, bone marlinspike, auger, layer of pitch from ship store, amphora LR  C5 or C6 (reused?), ARS (Hayes 108, 109), Lamp 2B, some E(?) fineware, import coarseware; coin poss intrusive: semi-follis Heraclius Carthage 611/12; pewter tokens (intrusive? Gerardo certainly!)",40-50 tons,"hull; shallow: probably intrusive deposits; heavily salvaged; only object found in pitch certainly from wreck (?possibly explains survival of wheat, which was the main cargo, ca 3000 modii, dumped in rear 1/3 of ship. Triticum ?turgidum L. + Agrostemma githago L. weed); total capacity 40-50 metric tons; pitch near kitchen, probably is ship's gear; barrel bottom preserved in pitch. African cylindrical Keay 8a. (Pieri 2005, 16, claims multiple barrels [probably in error; cf. Jézégou 1998], proposes date ca. 650-700).",18.0,6.0,,1001,"M.P. Jézégou 1998, 343-351; D. Pieri 2005, 16-19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Gervais 3,,790,43.417,4.933,,149,154,,4.0,,,,amphoras,Dr20 Beltran2B LaubenheimerG4,ceramic,basket with 9 unguentaria,,,,,,"hull, mast steps, pump well, garboards, keel, keelson",17.0,6.0,remains of hull,1002,"F. Mayet 1987, 289.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Gervais 4,,791,43.417,4.933,,50,150,ca / ?,6.0,,,,amphoras,Dr20 Beltran2B,,,,,,,,side with lead sheathing,,,,1003,"F. Mayet 1987, 289.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Honorat,'Tourelle des Moines',792,43.500,7.050,,160,200,ca,20.0,,,,amphoras,Dr20,,,,,,anchor stock,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Hospice,,793,43.683,7.350,,1,500,?,40.0,,,,,,,,,,,,,,,,,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter Port,The Roman Guernsey Boat,794,49.450,2.533,,280,290,ca,8.0,partially silted,1982,,ceramic,pottery - various types of bowls and flagons. Types comensurate with location of wreck,coins,80 coins,tiles,roof tiles,"decorative pins and fishooks, ropes; cargo was carried in many barrels","pump bearings, sail cringles, 5 pulleys",130-160m^2,dating based on dendro (oak) as well as coins minted ca 260-80,24.5,6.0,length is estimated based on missing bow section. Possible length from 23-25m but most likely 24-25m,1007,"M. Rule and J. Monaghan 1993; E. Marlière 2002, 52-55.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Tropez 1,,795,43.267,6.633,,100,200,?,6.0,,,,stone,"marble column drums, bases, slab, architrave",,,,,,,,,,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Tropez 2,,796,43.267,6.667,,-25,75,ca / ?,30.0,,,,amphoras,Dr2-4 ovoid,,,,,,,,,,,,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saintes-Maries-de-la-Mer 3, Les",,798,43.417,4.400,,100,200,?,18.0,,,,metal,copper ingots,,,,,,,,,,,,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salakta,,800,35.333,11.067,,200,225,?,5.0,,,,stone,"marble carved blocks, architrave, pilaster and plain slabs, blocks",,,,,,,,,,,,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salerno,,801,40.650,14.767,ca,0,0,,,,,,stone,grey limestone blocks,,,,,,,,,,,,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saliagos,,802,37.033,25.100,ca,1,500,,3.0,,,,ceramic,Roman coarse pottery,,,,,,ballast,,,,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salines, Ses",Colonia de Santi Jordi A,803,39.300,3.000,,70,80,ca,,,,,amphoras,Dr7-11 Dr20,metal,"lead ingots, iron helmet, iron sword blad, iron bar with ring and hooks at end, bronze vessles",,,,,,"lead sheathed wood, bronze nails, keel bolt",,,,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salou,,804,41.033,1.167,ca,50,200,?,,,,,amphoras,Dr20,,,,,,,,,,,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Nicola,,805,37.933,12.333,,1,100,,14.0,,,,amphoras,Dr20 Dr28,,,,,,,,,,,,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pietro,,806,40.300,17.667,,200,250,?,6.0,,,,marble,Aphrodisian marble sarcophagi,amphoras,fragments,ceramic,Late Roman pottery,"lead ring, lead sheet",,,frames,,,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Vincenzo 1,,807,43.083,10.533,,1300,1300,ca / ?,,shallow,,,metal,"iron objects, slag",,,,,,,,,,,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Vincenzo 2,,808,43.050,10.517,ca,-300,100,?,,shallow,,,amphoras,,stone,millstones,,,,lead anchor stock,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Vito,,809,38.167,12.767,,1,500,?,,,,,amphoras,,,,,,,,,,,,,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sancak Burun,,811,37.000,27.950,,-25,100,,36.0,,,,amphoras,Rhodian,,,,,,,,hull timbers,,,,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sancti Petri,El Pecio del Cobre,812,36.400,-6.217,,50,100,,9.0,,,,metal,"lead, copper ingots",,,,,,lead anchor stock,,,27.0,20.0,remains,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguinet,,813,44.433,-1.083,,150,150,ca / ?,6.0,,,,nothing reported,,,,,,,,,dugout,3.7,,,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sant Antoni,,814,38.983,1.250,?,1,50,ca / ?,,,,,amphoras,Dr9,,,,,,,,,,,,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sant'Antioco 1,,819,38.950,8.417,?,275,300,,,,,,amphoras,Africana grande,ceramic,terra sigillata chiara D pottery,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sant'Antioco 2,,820,38.950,8.417,?,1,500,?,,,,,stone,blocks,,,,,,,,'transport ship',,,,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cesarea,,815,40.033,18.467,,0,0,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Maria,,816,41.283,9.383,,200,300,?,,,,,amphoras,Afr2A,,,,,,,,,,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Maria: another site,,817,41.283,9.383,ca,0,0,,,,,,marble,blocks,,,,,,,,P1034a,,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Marinella (Italy),,818,42.017,11.833,ca,0,0,,,,,,dolia,,,,,,,,,P1034b,,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Ianni,,821,39.950,15.700,,1,500,?,,,,,,,,,,,,lead stocked anchors,,,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapientza,,822,36.750,21.700,ca,1,500,,8.0,,,,marble,"blocks, slabs",,,,,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinia: other sites,,823,40.956,9.834,ca,200,300,,,shallow,,,amphoras,Almagro50 Afr2D Dr20 pear-shaped,,,,,,,,P1039a Symbolic coordinates. No precise location info provided. W Mediterranean hypothesized,,,,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savudrija,,824,45.483,13.500,,-140,20,ca / ?,22.0,,,,amphoras,Graeco-Italian,,,,,,,,,,,,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scedro 1,,825,43.083,16.667,,300,400,?,,,,,amphoras,,,,,,,,,,,,,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sciacca,,826,37.483,13.083,ca,1,500,,,,,,nothing reported,,,,,,,,,,,,,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scialandro 2,Giolandio,827,38.100,12.683,,1,300,?,,,,,amphoras,Panella44-47,,,,,,,,,,,,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoglietto,,828,42.817,10.317,,0,0,,72.0,,,,amphoras,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoglio della Formica 2,,829,38.083,13.550,,800,1100,,57.0,,,,ceramic,filter jugs,lamps,,metal,"""iron objects""",,,,hull remains,,,,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoglitti,,830,36.867,14.417,ca,1,500,,,,,,,,,,,,,,,'Roman ship',,,,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scole 1, Le",,831,42.350,10.917,,365,380,ca,52.0,,,,amphoras,cylindrical,coins,box of coins closing with Valens (364-378),,,,lead stocked and iron anchors,,hull remains,33.0,,remains,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scole 2, Le",,832,42.350,10.917,,0,0,,,,,,amphoras,,,,,,,,,,,,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secanion, Le",L'epave de Secanion/Sequanion,833,43.533,7.100,,-10,40,ca,26.0,,,,tiles,roof tiles,amphoras,Dr20,ceramic,"mortarium, coarseware pitcher, lead lid",Sestertius of 23-17 BC,,,,,,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secca del Mignone,,834,42.167,11.733,ca,1200,1300,,,,,,ceramic,glazed bowls,,,,,,,,,,,,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secca della Croce,,835,42.383,10.900,,1,100,?,40.0,,,,amphoras,Dr2-4,,,,,,,,,,,,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secche di Ugento 1,,836,39.817,18.150,,-50,100,ca / ?,8.0,,,,amphoras,Dr2-4,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secche di Ugento 3,,837,39.817,18.150,ca,600,700,?,,,,,amphoras,globular,,,,,,,,,,,,1068,G.F. Bass 2004.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedot Yam,,838,32.483,34.883,,400,600,,3.0,,,,amphoras,Keay 25,,,,,,,,,,,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senigallia (Italy),,839,43.717,13.217,ca,0,0,,,,,,amphoras,,,,,,,,,P1069b,,,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serçe Limani 1,,840,36.567,28.083,,1025,1025,ca,34.0,,,,glass,"broken vessels, cullet, intact vessels; weights",ceramic,"Islamic glazed bowls, pots, glazed bowls",amphoras,Byzantine,"wooden combs, orpiment, glasses, coin weights balance pan weights, iron swords, wooden scabbard, lead net weights, axe, spears, javelins, chessmen, gaming table, gold pendant, silver rings, tools, nails, fishing equipment","ballast, rigging pieces, 8 y-shaped anchors",,preserved hull,15.6,5.0,,1070,"G.F. Bass 1979, 36-43; G.F. Bass 1981, 96-111; J.R. Steffy 1982, 13-34; G.F. Bass 1984, 42-47; G.F. Bass 1984, 64-69; G.F. Bass, F.H. van Doorninck Jr., and J.R. Steffy 1984,161-182; C. Pulak et al. 1987, 31-57; M. Jenkins 1992, 56-66; F.H. van Doorninck Jr. 1993, 8-12; F.M. Hocker 1993, 13-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serçe Limani Zone,,841,36.000,28.000,,975,1100,,36.0,,,,glass,vessels,,,,,,,,"hull remains, nails, caulking, 70 m off shore",,,,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shab Rumi,,842,19.000,37.000,,-50,100,ca / ?,,shallow,,,amphoras,Coan,,,,,,,,,,,,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiant Islands,,843,57.883,-6.333,,1,500,?,0.0,,,,nothing reported,,,,,,,,,Roman ship,,,,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidi Ahmad,,844,32.167,15.167,,1,500,?,,,,,marble,columns,,,,,,,,,,,,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silba 1,,845,44.383,14.683,ca,300,425,ca / ?,,,,,amphoras,Afr,,,,,,,,,,,,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silba 2,,846,44.333,14.817,,1,100,?,,,,,amphoras,Rhodian,,,,,,,,,,,,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silba 3,,847,44.383,14.683,ca,1,500,,,,,,tiles,roof tiles,,,,,,,,,,,,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silba 4,,848,44.333,14.717,,500,1500,,,,,,glass,,,,,,,,,,,,,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sile,,849,41.183,29.633,,100,125,ca / ?,6.0,,,,marble,"columns and block of green breccia, 5 ionic capitals, column base, blocks, plaque, roughly quarried, half finished of Proconnesian, half-finished colossal statue of emperor, large female bust, sarcophagus lid, stele, 2 bowls",,,,,,,,metal objects and timber from hull,,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siracusa 2,,850,37.033,15.300,,400,700,,,,,,amphoras,Byz,,,,,,,,,,,,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siracusa 3,,851,37.033,15.300,,400,700,,,,,,amphoras,,,,,,,,,,,,,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siracusa 4,,852,37.050,15.300,ca,1,500,,,,,,amphoras,,,,,,,,,,,,,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarda 1,,853,44.283,14.683,,-100,100,,,,,,amphoras,Lam2 Dr6,,,,,,,,,,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarda 2,,854,44.283,14.683,,1,500,,,,,,tiles,roof tiles,,,,,,,,,,,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoljic,,859,44.633,14.233,,50,200,?,36.0,,,,amphoras,"Dr2-4 derivative, pear-shaped",ceramic,fine pottery,metal,iron 'fireplace',cooking equipment,2 iron anchors,,,,,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skopelos,,860,39.083,23.583,?,1175,1200,,,,,,amphoras,,ceramic,Aegean ware with incised geometric or animal motifs or painted ware with geometric design,,,,,,,,,,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobra,,865,42.717,17.600,,320,340,ca / ?,30.0,,,,amphoras,"Afr cylindrical, Al50, pear-shaped",ceramic,"terra sigillata chiara D, cooking pot, jug",,,,2 iron anchors,,lead-sheathed,25.0,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporades 2,,871,39.167,23.750,ca,1000,1200,?,50.0,,,,amphoras,Günsenin3,,,,,,,,,20.0,5.0,remains,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporades 3,,872,39.167,23.750,ca,1000,1200,?,50.0,,,,amphoras,Günsenin3,,,,,,,,,20.0,5.0,remains,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorres 2, Les",,866,41.283,2.000,,-100,200,?,,,,,metal,iron blocks,ceramic,coarseware jug,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorres 3, Les",,867,41.283,2.000,,25,100,ca / ?,,,,,amphoras,Dr2-4,dolia,,,,,,,,,,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorres 4, Les",,868,41.283,2.000,,1,500,,5.0,,,,,,,,,,,,,,,,,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorres 5, Les",,869,41.283,2.000,,1,500,,,,,,,,,,,,,,,,,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorres 6, Les",,870,41.283,2.000,,1,500,,,,,,,,,,,,,,,,,,,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strasbourg (France) 1,,877,48.587,7.801,ca,1,200,,,,,,,,,,,,,,,P1114ai wooden raft,12.5,,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strasbourg (France) 2,,878,48.587,7.801,ca,1,200,,,,,,,,,,,,,,,P1114aii wooden raft,7.5,,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straton's Tower,,879,32.500,34.883,,50,50,ca / ?,3.0,,,,dolia,,metal,legs of folding bronze table; silver rings; balance scales,,,,"bilge pump, sail rings, ropes",,"hull, C14 mid: 1st felling",45.0,9.0,,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud Camarat,,880,43.183,6.683,ca,1,300,?,,,,,tiles,roof tiles,,,,,,part of iron anchor,,,,,,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud-Lavezzi 1,,881,41.300,9.250,,375,425,ca / ?,36.0,,,,amphoras,Almagro51A flat-bottomed Almagro51C Beltran72 Dr23,,,,,,anchors,,timbers,,,,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud-Lavezzi 2,,882,41.300,9.250,,10,30,,42.0,,,,amphoras,Haltern70 Dr7-11 Dr20 Dr28,metal,"copper, lead ingots",ceramic,Arretine pottery,,9 anchors,,,23.8,,or less,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud-Lavezzi 3,,883,41.317,9.250,,15,25,ca / ?,38.0,,,,amphoras,Dr2-4 Pascual1 Dr14,,,,,,,,,,,,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud-Perduto 1,,884,41.333,9.300,,-25,25,ca / ?,70.0,,,,amphoras,Dr12,,,,,,,,,,,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sud-Perduto 2,,885,41.333,9.300,,1,15,ca / ?,48.0,,,,amphoras,Dr7 Dr9 flat-bottomed Dr12 Longarina2 Oberaden83,metal,lead ingots,,,,,,mast step,16.0,5.0,remains,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulcis,,886,39.067,8.467,,1,500,,,silted,,,nothing reported,,,,,,,,,"planking, keel, nails",23.0,7.0,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susak,,887,44.500,14.300,,1,500,?,,,,,tiles,roof tiles,,,,,,,,,,,,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sveti Andrija,,889,43.017,15.750,,1,150,ca / ?,,,,,amphoras,Dr2-4 Richborough527,,,,,,,,,,,,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,890,36.000,35.000,ca,800,900,?,35.0,,,,amphoras,Arab,ceramic,jars,,,,,,,,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Szazhalombatta,,891,47.417,18.833,,1,200,,,,,,metal,35 bronze vessels,ceramic,pottery,,,cooking equipment,,,Roman boat,,,,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tainaron,,893,36.383,22.483,,1200,1300,,,,,,amphoras,Günsenin3,,,,,,,,,,,,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanger 2,,894,35.800,5.817,ca,1,100,?,,,,,amphoras,Dr7-11 Dr38,,,,,,,,,,,,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taranto 1,,900,40.267,17.583,,400,650,ca / ?,,,,,stone,millstones,,,,,,,,,,,,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taranto 3,,901,40.367,17.367,,1,100,,,shallow,,,amphoras,Coan Rhodian,ceramic,roof tiles,,,,5 lead anchor stocks,,,,,,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarragona (Spain),,902,41.104,1.279,,0,0,,,,,,amphoras,Dr7-11,,,,,,,,The record is only for a an amphora brought back by a fishing vessel. Coordinates purely symbolic,,,,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartus,,903,35.900,35.883,ca,1000,1200,,,,,,amphoras,Günsenin3,,,,,,,,,,,,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tcerny Nos,,904,43.167,27.983,ca,375,500,?,,,,,amphoras,Riley LR8b,,,,,,,,,,,,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tekmezar 3,ekmezar Burnu,905,40.641,27.524,,1000,1100,,8.0,,,,tiles,roof tiles,ceramic,glazed bowls,,,,,,,,,,1138,"N. Günsenin 2002,129 n8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Kara (Israel),,906,32.767,34.950,,0,0,,,,,,metal,copper ingots,,,,,,,,"Unpublished. Coordinates close to Parker's indication of Kefar Gallim, near location of the site.",,,,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenedos,,907,39.833,26.083,ca,1000,1100,,,,,,amphoras,Günsenin1,,,,,,,,,,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrasini 1,,908,38.150,13.083,,25,50,ca / ?,3.0,,,,amphoras,Dr8 Dr9 Camulodunum186A Haltern 70,metal,copper ingots,marble,bowl,"2 swords, hand mill, axe",,,"wood fragments, copper nails, lead sheathing, tiles",,,,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
